"P31_UC",168,84,161,102,52,33,8,8,17,179,976,440,172,48,23,17,101,55,231,60,38,1,119,241,125,2250,12,24,12,7,11,0,31,82,16,34,74,70,10,335,18,19,38,12,5,8,17,28,836,187,15,25,29,0,63,12,2,6,15,0,0,47,79,12,0,15,0,0,11,3,6,61,0,0,0,25,0,4,33,0,13,64,0,9,7,3,61,43,18,24,17,0,13,73,0,0,6,8,12,9,16,0,4,6,67,23,246,2,0,61,0,4,0,4,0,5,0,0,10,5,142,5,195,22,26,13,8,8,2,43,72,0,25,22,15,122,3,0,105,0,12,0,39,0,0,174,24,21,0,0,0,0,4,0,0,10,15,26,0,0,5,2,0,0,0,20,20,134,28,0,53,13,0,0,2,0,2,0,7,444,17,0,94,0,1,4,0,0,0,27,0,15,10,12,10,2,0,14,7,0,"UC"
"P16_C",253,24,48,13,14,11,5,2,74,535,68,26,49,12,5,74,3,9,616,9,10,129,5,11,13,2311,5,5,6,5,8,6,4,5,23,2,8,40,2,0,8,3,478,148,10,26,2,24,42,3,14,18,0,20,560,4,3,7,6,59,78,4,8,15,2,101,9,2,3,9,5,3,15,141,2,21,10,0,0,3,14,6,3,0,43,25,6,2,3,6,22,7,3,0,18,8,0,5,12,3,4,18,10,0,4,0,0,0,4,3,77,0,4,3,6,2,1,1,0,4,0,10,4,2,0,0,5,2,4,0,0,10,0,3,0,0,3,2,0,9,0,5,0,2,0,0,0,0,0,20,0,29,9,0,2,2,0,0,1,1,3,0,0,2,2,0,0,0,0,4,0,0,0,1,0,0,3,5,0,0,0,3,0,5,0,0,6,0,4,0,3,1,0,0,6,2,3,5,1,2,"C"
"P34_UC",252,352,83,104,59,30,10,8,21,19,81,1084,8,73,18,21,44,41,19,21,63,16,25,592,4,1622,7,5,8,8,13,13,8,24,9,69,16,32,6,58,24,14,21,10,7,16,6,53,145,248,0,0,149,15,49,6,2,0,10,0,3,33,25,11,8,4,0,4,8,0,2,39,2,12,4,2,0,6,3,10,0,0,0,11,3,0,18,0,2,9,6,2,6,9,0,0,0,10,2,18,0,0,0,11,0,17,835,0,0,2,0,0,0,0,0,6,0,2,7,0,91,6,0,5,6,3,5,0,0,0,0,14,0,0,0,0,0,6,9,0,0,0,0,2,10,8,13,0,3,0,0,0,3,4,4,2,4,0,4,5,0,0,0,0,5,0,9,7,29,0,4,0,4,27,0,23,0,0,43,0,0,0,6,46,2,5,3,5,0,0,0,0,0,10,0,0,0,7,0,0,"UC"
"P02_C",41,10,52,37,21,16,11,4,99,23,66,0,23,4,13,99,6,118,78,52,85,19,4,221,3,2531,10,6,10,7,10,29,10,53,33,12,0,30,6,5,0,5,306,136,8,7,3,26,30,4,12,6,9,24,374,0,3,0,2,72,125,4,13,4,5,92,15,3,3,6,1,4,25,182,3,4,0,25,5,6,11,3,5,3,89,17,46,2,3,0,23,7,0,0,0,0,0,11,10,3,0,0,0,5,0,0,0,0,8,0,14,0,6,4,5,2,8,4,0,0,0,8,0,3,0,0,0,0,4,0,2,0,0,0,11,0,4,4,0,0,0,7,0,1,15,0,0,0,0,0,0,7,14,3,3,0,0,0,6,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,9,0,8,0,12,0,0,0,0,0,3,6,0,1,"C"
"P17_C",501,38,41,524,87,5,4,1,84,650,136,1690,53,51,4,84,9,9,679,4,28,32,0,856,10,3139,15,4,8,6,8,1,2,2,27,4,8,7,3,3,5,5,414,104,4,16,1,40,30,46,10,18,131,26,0,5,9,6,6,64,47,4,6,15,8,64,7,3,14,0,6,24,27,106,4,19,27,6,2,10,8,27,4,0,71,23,0,3,4,9,4,0,10,0,24,11,2,0,21,9,2,28,60,0,5,50,0,4,2,0,70,1,0,0,0,2,0,0,0,2,0,11,13,0,2,4,0,0,3,7,0,10,14,0,0,15,5,0,0,11,8,6,7,2,4,0,0,0,53,0,0,10,0,0,0,2,0,2,51,0,0,0,1,0,3,7,0,0,9,8,0,0,3,0,0,29,2,2,2,0,4,7,0,0,0,0,10,4,0,0,8,0,0,0,2,0,7,0,0,0,"CD"
"P30_UC",286,203,357,181,133,51,6,4,16,641,1130,819,471,150,6,16,162,41,684,7,102,1,191,482,130,2053,7,9,26,10,21,3,54,17,45,82,157,124,3,284,36,21,113,49,21,30,4,58,808,459,56,41,186,69,151,33,3,15,48,77,25,33,88,46,8,43,13,8,21,2,2,75,9,0,8,49,87,11,51,29,8,155,0,7,11,0,8,32,13,28,6,4,5,36,10,0,5,6,0,36,77,0,0,17,105,35,88,22,0,28,4,31,4,21,0,2,29,11,10,3,592,0,286,19,19,35,7,23,14,41,45,21,23,9,6,119,5,8,49,0,122,10,43,2,17,184,25,23,0,23,0,0,0,15,8,23,5,26,3,6,0,0,4,11,18,21,4,114,127,0,39,17,8,4,0,0,0,2,0,0,28,0,48,18,9,0,0,0,0,47,0,10,8,12,21,0,0,8,0,0,"UC"
"P18_CD",133,2624,209,902,419,30,10,8,25,391,1169,613,301,444,22,25,128,101,403,85,62,1,126,327,152,2177,16,5,5,5,19,31,26,491,37,40,93,22,10,41,7,37,65,36,27,16,12,34,773,1192,92,45,1469,0,105,16,95,20,4,24,0,31,91,0,4,49,0,4,0,4,6,107,0,19,4,30,41,7,0,30,0,121,3,0,0,2,82,51,20,5,2,5,8,23,25,14,6,10,12,39,4,1,0,7,87,68,2558,243,0,1,0,15,0,0,2,5,13,2,12,3,9,0,209,2,15,16,5,3,0,33,35,0,31,0,18,138,6,11,70,4,61,0,33,0,0,6,4,20,26,0,6,0,0,32,6,0,7,26,0,9,0,0,16,0,8,20,41,4,15,0,6,11,4,0,39,0,6,0,220,21,20,0,11,0,45,0,0,5,0,27,4,0,25,0,0,0,0,5,0,0,"CD"
"P23_CD",746,84,187,55,36,66,5,5,11,119,607,1924,191,22,10,11,78,57,116,13,59,1,116,1207,92,2792,8,22,14,6,8,3,36,309,0,40,74,57,3,1014,61,13,80,0,16,22,0,19,270,2198,7,17,295,24,186,3,32,13,9,4,14,37,20,0,8,33,13,0,105,20,2,262,0,47,4,8,78,7,55,4,6,64,3,22,39,8,4,2,35,0,0,0,2,97,0,3,0,0,4,0,6,34,4,8,56,16,633,34,3,51,8,2,6,0,4,2,0,0,5,0,1019,0,68,6,13,13,9,35,8,29,82,8,0,21,5,87,4,0,26,5,32,0,27,0,11,225,17,14,11,15,0,0,0,16,0,14,7,18,0,6,4,0,0,6,0,16,0,222,0,3,74,7,4,0,25,29,0,0,6,380,3,1,49,0,0,13,10,2,0,30,0,15,1,11,0,0,0,27,6,0,"CD"
"P08_C",354,116,73,527,160,26,5,3,132,1243,544,406,140,158,8,132,22,17,1506,13,91,6,19,231,77,1694,7,7,0,8,12,8,31,11,33,28,76,58,3,9,2,7,225,111,1,8,2,37,0,21,16,37,131,38,245,19,4,5,23,116,105,0,21,18,4,194,11,2,5,15,3,18,31,0,4,9,64,28,20,4,9,32,4,3,70,4,9,7,11,35,14,5,0,9,28,10,22,5,3,14,20,60,56,5,61,6,77,10,3,0,94,11,3,7,6,1,21,7,2,40,0,5,46,4,6,23,0,7,7,10,0,16,0,0,7,38,6,0,2,7,19,8,10,3,0,0,4,3,67,0,3,8,0,0,0,1,0,0,45,0,0,7,12,0,0,10,0,0,14,1,0,3,2,11,0,0,0,2,8,0,2,6,0,14,0,7,71,49,0,3,4,0,7,4,1,2,0,1,24,0,"C"
"P18b_CD",115,2509,180,896,439,28,10,10,19,341,1096,567,279,439,16,19,119,80,386,85,56,2,128,305,130,2092,12,5,4,8,20,39,20,466,28,44,95,22,10,37,6,24,46,17,20,6,15,27,779,1084,84,40,1383,22,66,13,93,15,13,31,13,0,70,0,4,16,6,4,395,2,4,96,2,15,0,0,62,7,0,34,0,113,4,0,0,4,88,56,16,2,0,7,4,25,20,14,0,10,20,36,6,9,22,10,75,75,2427,242,0,2,0,18,0,0,0,4,14,0,14,5,11,0,176,2,14,18,0,2,0,30,29,0,24,2,8,89,3,8,62,0,65,0,31,0,0,7,0,18,0,0,6,0,0,33,5,0,7,25,0,10,0,0,15,0,10,19,44,2,19,0,4,8,4,0,39,0,6,0,211,15,10,0,8,295,36,0,2,0,0,23,5,10,0,0,0,0,0,5,14,0,"CD"
